building, "apartments", 17
name, "19th Street Oakland", 10
source, "bing approx- please update", 2
name, "Central Avenue", 5
from, "Richmond", 378
name, "Wesley Avenue", 4
name, "Millbrae-Pittsburg / Bay Point", 173
amenity, "school", 3
from, "Foothill Square", 186
public_transport:version, "2", 3872
public_transport:version, "1", 1608
name, "8th Avenue", 2
name, "Island Drive", 19
to, "Seattle", 1364
colour, "#e6ac11", 244
type, "route", 13111
wikipedia, "en:Oakland–Alameda County Coliseum", 2
admin_level, "6", 85
admin_level, "8", 47
tiger:NAME, "Oakland", 14
name, "Line 88 to Downtown Berkeley BART", 105
gnis:feature_id, "223832", 2
name, "Line 851 to Fruitvale BART", 139
alt_name, "Bay Trail", 489
name, "4th Street", 11
name, "Line 72M to Point Richmond", 265
name, "Line 800 to Richmond BART", 392
is_in:state, "CA", 733
to, "Bakersfield Station", 347
wikidata, "Q490744", 3
water, "lake", 6
tiger:NAMELSAD, "Brisbane city", 6
tiger:NAME, "Alameda", 3
from, "Oakland International Airport (OAK)", 9
attribution, "CASIL cnty24k09_1_poly.shp", 85
AREAID, "110167290336", 2
from, "Warm Springs / South Fremont", 191
floating, "yes", 2
tiger:PLACENS, "02409912", 6
name, "Dublin / Pleasanton-Daly City", 82
name, "Martinez Subdivision", 152
name, "Magnolia Street", 6
to, "San Francisco International Airport", 165
name, "Warm Springs / South Fremont-Daly City", 91
county:abbrev, "ALA", 32
name, "Allman Street", 3
nist:state_fips, "6", 85
tiger:NAMELSAD, "Oakland city", 14
name:zh, "圣马刁县", 32
official_name, "Oakland-Alameda County Coliseum", 2
name, "Excelsior Avenue", 10
building:levels, "10", 2
place_name, "Alameda", 3
implicit, "yes", 51
via, "Portland", 1364
MTFCC, "K2180", 2
name, "Telegraph Avenue", 103
tiger:PLACENS, "02409669", 3
route, "bus", 6126
addr:state, "CA", 2
phone, "+1 510 238 4322", 4
to, "Rockridge BART", 110
MTFCC, "H2030", 6
tiger:PLCIDFP, "0667000", 20
to, "Oakland International Airport (OAK)", 10
direction, "north", 135
to, "Bay Fair BART", 549
name:zh, "阿拉梅达县", 32
to, "Richmond BART", 392
via, "Webster Tube", 88
name, "3rd Street", 9
to, "West Oakland BART", 72
name, "Alice Street", 8
to, "Richmond", 369
name, "Coliseum–Oakland International Airport", 10
addr:city, "Oakland", 6
name:zh, "奥克兰", 14
source, "TIGER/Line® 2008 Place Shapefiles (http://www.census.gov/geo/www/tiger/)", 23
name, "AT&T Oakland OC3 central office", 2
name, "Montana Street", 2
name, "Lake Merritt", 14
source:population, "https://www.census.gov/programs-surveys/popest.html", 64
is_in:state, "California", 43
from, "MacArthur BART", 171
to, "Downtown Berkeley BART", 919
AWATER, "602433", 6
route, "train", 2304
name, "G Complex", 3
to, "Point Richmond", 265
to, "Transbay Temporary Terminal", 1
type, "site", 6
name:zh, "阿拉米達", 3
name, "Myrtle Street", 4
name, "Richmond-Daly City", 75
name, "Pardee Drive", 5
direction, "south", 131
to, "Oakland Amtrak at Jack London Square", 175
name, "I 880 (CA northbound)", 135
ref, "Green", 330
tiger:MTFCC, "G4110", 43
building, "yes", 702
wikidata, "Q107146", 32
name, "Line 1R to Downtown Berkeley BART (Weekday)", 348
ref, "Yellow", 681
name, "10th Street", 4
name, "45th Avenue", 4
addr:street, "9th Street", 2
ref, "Silver", 21
name, "Coliseum (OAC) / Oakland Airport (OAK)", 2
county:ansi, "081", 32
alt_name:vi, "Xăng Phăng", 20
county:ansi, "075", 21
ref, "712-718", 347
colour, "#00aeef", 164
name, "Line 800 to San Francisco", 357
building, "garages", 2
name, "5th Street", 14
type, "domain awareness center", 27
route, "railway", 499
gnis:state_id, "06", 2
nist:fips_code, "6081", 32
name:pt, "São Francisco", 20
water, "pond", 2
addr:state, "California", 2
from, "San Francisco International Airport", 162
nist:fips_code, "6075", 21
place_name, "San Francisco", 20
name, "Pittsburg / Bay Point-SFO/Millbrae", 4
nist:fips_code, "6001", 32
name, "Fruitvale", 5
name, "Fremont-Richmond", 93
name, "Line 88 to Lake Merritt BART", 109
name, "Franklin Elementary School", 2
building, "mixed_use", 2
old_name, "MacAfee Coliseum; O.co Coliseum", 2
name, "Oakland Housing Authority", 2
name, "Coast Starlight", 1364
via, "Oakland", 1099
name, "Webster Street", 18
name, "Oakland City Hall", 4
is_in:country_code, "US", 43
name, "San Pablo Avenue", 36
highway, "pedestrian", 7
county:ansi, "001", 32
addr:housenumber, "575", 2
natural, "water", 8
to, "Estates Ave. & Inverlieth Terr., Piedmont", 133
name:ar, "بريسباني، سان ماتيو، كاليفورنيا", 6
tiger:NAMELSAD, "San Francisco city", 20
from, "Jack London Square", 265
tiger:PLACENS, "02411786", 20
from, "Fremont", 169
name, "9th Street", 11
direction, "East", 224
wikidata, "Q108101", 32
tiger:PLCIDFP, "0600562", 3
name, "Franklin Street", 7
FIXME, "Exact stop positions and platforms needed", 696
longitude, "-122.2694685", 2
route, "road", 1323
wikipedia, "en:Alameda, California", 3
to, "Oakland Coliseum (OAC)", 9
from, "Los Angeles", 1364
name, "Line 26 to Lakeshore Avenue", 128
name, "Daly City-Dublin / Pleasanton", 82
colour, "#191970", 1364
name, "Oakland Jack London Square Station", 4
natural, "scrub", 3
name, "Line 851 to Downtown Berkeley", 133
colour, "#ffe800", 681
restriction, "no_right_turn", 42
name, "I 580 (CA eastbound)", 224
population, "870887", 21
name, "Line 72 to Jack London Square", 503
from, "Gilman St & 6th St", 175
gnis:created, "06/14/2000", 2
ref, "185", 218
border_type, "city", 47
alt_name, "Alameda", 32
name, "Daly City-Richmond", 74
boundary, "administrative", 132
wikipedia, "en:Oakland – Jack London Square (Amtrak station)", 4
name, "Filbert Street", 2
ref, "SFB", 489
type, "boundary", 132
tiger:CPI, "Y", 37
tiger:CPI, "N", 6
name, "MacArthur Boulevard", 26
name, "Soda Commons", 3
route_master, "monorail", 2
operator, "Union Pacific Railroad", 270
ALAND, "47929", 2
name, "Park Boulevard", 76
ref, "Red", 355
name, "The Altenheim", 2
name, "Victory Court", 3
from, "Rockridge BART", 113
route_master, "bus", 38
name, "Oakland Museum of California", 2
name, "Line 1 to Downtown Berkeley BART", 363
building:levels, "5", 9
building:levels, "2", 8
building:levels, "4", 5
building:levels, "3", 2
Tiger:HYDROID, "110167290253", 6
name, "Student Center & Cafeteria", 2
to, "Monroe St & San Pablo Ave", 140
route_master, "train", 4
name, "98th Avenue", 16
type, "building", 4
building, "school", 7
name:zh, "布里斯班", 6
tiger:PLCIDFP, "0653000", 14
via, "Downtown Berkeley BART", 275
addr:housenumber, "328", 2
ele, "12", 2
county:name, "San Francisco", 21
to, "San Francisco", 357
network, "BART", 2010
name, "Pittsburg / Bay Point-Millbrae", 177
tiger:reviewed, "no", 43
to, "MacArthur BART", 163
name, "Line 802 to Downtown Oakland", 119
from, "Pittsburg / Bay Point", 177
restriction, "only_straight_on", 9
ownership, "city", 27
AWATER, "0", 2
name, "Cougar Village", 2
from, "Lakeshore Avenue", 128
tiger:LSAD, "25", 43
addr:postcode, "94621", 2
addr:postcode, "94606", 2
addr:postcode, "94607", 2
via, "Alameda", 223
sport, "multi", 2
county:abbrev, "SFO", 21
name, "Cañon Avenue", 2
name, "260 (unsigned)", 36
name, "I 980 (CA)", 20
county:abbrev, "SMT", 32
wikipedia, "en:California State Route 13", 91
symbol, "http://upload.wikimedia.org/wikipedia/commons/4/40/I-580_(CA).svg", 447
created_by, "Potlatch 0.8", 3
name, "Adeline Street", 11
route_master, "subway", 18
owner, "Oakland", 27
name, "Line 31 to MacArthur BART", 163
name, "San Francisco City and County", 21
name, "Lighthouse Community Charter School", 3
man_made, "pier", 2
name, "I 880 (CA southbound)", 131
to, "Berkeley Amtrak", 108
tiger:PLACEFP, "53000", 14
wikidata, "Q851034", 4
type, "stop", 25
name, "Richmond-Warm Springs / South Fremont", 109
via, "Posey Tube", 91
name, "Oakland Coliseum", 2
addr:street, "Hanover Avenue", 2
note, "As of August 2008, no longer unsigned: see http://en.wikipedia.org/wiki/California_State_Route_77", 11
network, "AC Transit", 135
addr:street, "Coliseum Way", 2
tiger:PLACEFP, "00562", 3
operator, "Amtrak", 1612
start_date, "1914", 4
to, "Warm Springs / South Fremont", 192
name, "Washington Street", 10
wikidata, "Q17042", 14
name, "Line 802 to Berkeley Amtrak", 108
to, "Dublin / Pleasanton", 82
network, "lcn", 439
wikidata, "Q877714", 2
start_date, "1966", 2
name, "Library LRC", 2
start_date, "1993", 5
name, "Clay Street", 8
name, "Phoenix Commons", 2
FIXME, "Underlying infrastructure "Seattle Subdivision" needs some fixing", 1364
